YEAR,Month,Day,Maximum temperature at 2 meter(degree celcius),Minimum temperature at 2 meter(degree celcius),Earth skin temperature(degree celcius),relative humidity(%),Precipitation(mm/day),Surface pressure(kpa),Wind speed at 10 meters(m/s)
2000,1,1,8.27,10.48,0.3,60.81,2.37,77.95,2.83
2000,1,2,3.04,7.64,-2.39,58.88,2.17,77.95,2.12
2000,1,3,-4.73,6.28,-7.53,53.25,0.91,78.85,7.41
2000,1,4,5.29,15.89,-4.83,50.62,0,78.99,4.3
2000,1,5,1.34,11.02,-5.63,55.25,0.86,78.67,3.8
2000,1,6,0.51,12.88,-7.63,49.56,0.11,79.45,3.37
2000,1,7,6.26,14.29,-4.2,45,0.09,79.15,3.21
2000,1,8,5.64,12.6,-2.89,52,0.06,78.4,4.38
2000,1,9,0.62,7.16,-3.97,48.81,0.83,78.06,7.61
2000,1,10,4.67,8.48,-2.02,53.62,1.24,78.03,6.64
2000,1,11,9.81,11.07,0.62,46.44,0,78.13,8.03
2000,1,12,7.48,9.88,-0.52,50.31,0.54,78.71,5.46
2000,1,13,8.16,12.59,-1.12,57.94,0.05,79.77,3.21
2000,1,14,11.62,13.75,0.36,37.44,0,79.55,4.01
2000,1,15,13.51,13.69,1.93,42.81,0.07,79.31,3.75
2000,1,16,13.73,13.33,2.44,49.62,0.61,79.33,3.83
2000,1,17,12.44,12.16,2.48,60.62,0.05,79.36,2.98
2000,1,18,10.49,10.24,2.66,67.94,1.34,79.2,3.78
2000,1,19,9.62,12.02,2.49,58.81,0.92,78.97,5.85
2000,1,20,9.25,11.37,0.22,52.38,0.05,78.92,2.69
2000,1,21,9.48,10.27,1.22,64.88,0.66,78.33,3.02
2000,1,22,5.3,10.08,-1.35,55.06,1,78.49,3.19
2000,1,23,2.75,7.99,-3.05,46.12,0.28,78.99,4.95
2000,1,24,7.37,11.45,-0.19,57.5,0.62,78.94,4.13
2000,1,25,2.48,5.15,-0.69,79.5,1.63,78.89,1.93
2000,1,26,1.72,5.73,-0.95,84.56,4.34,78.39,2.12
2000,1,27,0.3,11.06,-4.31,80.69,2.66,78.8,2.73
2000,1,28,-3.38,8.75,-8.3,58,0.68,79.09,3.32
