YEAR,Month,Day,Maximum temperature at 2 meter(degree celcius),Minimum temperature at 2 meter(degree celcius),Relative humidity at 2 meters(%),precipitation(mm/day),Surface pressure(kPA),Wind speed at 10 m/s
2000,1,1,0.13,-4.55,88.19,2.2,86.35,5.13
2000,1,2,-0.88,-4.55,87.75,4.57,86.74,6.44
2000,1,3,2.37,-4.05,92.25,3.65,87.49,3.79
2000,1,4,1.98,-3.94,91,4.41,87.23,6.28
2000,1,5,0.68,-7.99,87.12,0.73,87.86,3.3
2000,1,6,3.18,-8.02,78.81,1.29,87.54,4.24
2000,1,7,2.37,-3.07,92.5,0.16,87.5,3.59
2000,1,8,1.58,-3.19,87.25,2.25,86.93,7.89
2000,1,9,2.39,-3.49,89.5,6.65,86.57,6.73
2000,1,10,1.98,-3.2,91.88,19.32,85.84,6.07
2000,1,11,0.6,-5.66,89.12,5.03,85.6,5.41
2000,1,12,-2.17,-8.6,88.5,2.03,86.52,6.52
2000,1,13,1.92,-4.23,92.19,9.3,86.4,6.94
2000,1,14,2.56,-3.02,94.75,4.49,86.59,4.37
2000,1,15,1.57,-6.11,96.31,2.39,86.46,5.06
2000,1,16,2.26,-4.62,89.88,1.98,86.06,7.86
2000,1,17,3.55,-6.5,89.75,0.98,87.18,3.56
2000,1,18,1.39,-4.99,94.56,0.21,86.99,3.14
2000,1,19,4.29,-5.31,94.44,1.69,86.96,4.91
2000,1,20,4.65,-2.59,90.06,0.8,86.73,3.12
2000,1,21,2.4,-4.04,84.31,0.18,86.64,3.12
2000,1,22,2.17,-5.34,83.75,0.54,86.88,2.73
2000,1,23,2.28,-6.23,88.19,3.65,86.65,4.97
2000,1,24,2.16,-0.81,95.62,4.01,86.52,4.86
2000,1,25,4.58,-3.17,92.62,0.93,86.63,2.95
2000,1,26,0.06,-6.17,87.31,0.68,87.34,3.14
2000,1,27,1.44,-7.28,85,0.13,87.74,2
2000,1,28,3.86,-8.99,73.19,0,87.43,5.73
2000,1,29,4.01,-10.63,69.94,0.15,86.93,6.65
2000,1,30,0.87,-10.13,85.94,1.75,86.22,6.88
2000,1,31,2.76,-6.52,86.81,4.16,86.83,5.37
2000,2,1,7.35,0.51,93.25,1.65,87.09,6.98
2000,2,2,8.55,-0.38,93.25,0.9,87.44,3.64
2000,2,3,6.02,-2.02,87.62,0.2,86.97,5.18
2000,2,4,7.09,-1.91,83.25,2.41,86.71,3.76
2000,2,5,9.45,-0.84,83.62,1.56,86.76,4.75
2000,2,6,8.15,-0.93,82.88,0.26,87.56,4.04
2000,2,7,8.33,-1.22,74.5,0.05,87.43,5.59
2000,2,8,7.84,-0.59,83.75,0.63,86.97,4.75
2000,2,9,8.49,-1.6,76.25,0.38,86.63,2.58
2000,2,10,5.28,-1.84,86,1.44,86.21,2.7
2000,2,11,5.44,-0.85,91.69,3.9,85.96,3.11
2000,2,12,3.62,-3.45,84.44,3.96,85.64,4.31
2000,2,13,4.83,-2.38,88.88,5.31,85.39,4.62
2000,2,14,5.86,-3.21,82.5,8.53,85.31,9.08
